Round,Round offset,Column offset,Row offset,Board offset,Team 1,Team 1 full name,Team 1 division,Player 1,Rating 1,Team 2,Team 2 full name,Team 2 division,Player 2,Rating 2
1,5,0,0,0,Delhi,Delhi Dynamite,Eastern,Salem Saleh,2638,Dallas,Dallas Destiny,Pacific,Jeffery Xiong,2633
1,5,0,0,1,Delhi,Delhi Dynamite,Eastern,M R Lalith Babu,2525,Dallas,Dallas Destiny,Pacific,Julio Sadorra,2574
1,5,0,0,2,Delhi,Delhi Dynamite,Eastern,Tania Sachdev,2391,Dallas,Dallas Destiny,Pacific,Andrey Gorovets,2522
1,5,0,0,3,Delhi,Delhi Dynamite,Eastern,Hemant Sharma,2342,Dallas,Dallas Destiny,Pacific,Artur Safin,2229
1,5,1,0,0,Armenia,Armenia Eagles,Eastern,Zaven Andriasyan,2593,Seattle,Seattle Sluggers,Pacific,Hikaru Nakamura,2781
1,5,1,0,1,Armenia,Armenia Eagles,Eastern,Samvel Ter-Sahakyan,2577,Seattle,Seattle Sluggers,Pacific,Victor Mikhalevski,2547
1,5,1,0,2,Armenia,Armenia Eagles,Eastern,Karen Grigoryan,2568,Seattle,Seattle Sluggers,Pacific,Giorgi Margvelashvili,2530
1,5,1,0,3,Armenia,Armenia Eagles,Eastern,Artak Manukyan,2196,Seattle,Seattle Sluggers,Pacific,Megan Lee,2179
1,5,2,0,0,Reykjavik,Reykjavik Puffins,Central,Johann Hjartarson,2539,St. Louis,St. Louis Arch Bishops,Atlantic,Fabiano Caruana,2799
1,5,2,0,1,Reykjavik,Reykjavik Puffins,Central,Helgi Olafsson,2512,St. Louis,St. Louis Arch Bishops,Atlantic,Varuzhan Akobian,2662
1,5,2,0,2,Reykjavik,Reykjavik Puffins,Central,Hannes Stefansson,2508,St. Louis,St. Louis Arch Bishops,Atlantic,Yaroslav Zherebukh,2621
1,5,2,0,3,Reykjavik,Reykjavik Puffins,Central,David Kjartansson,2385,St. Louis,St. Louis Arch Bishops,Atlantic,Forest Chen,1983
1,5,3,0,0,Cannes,Cannes Blockbusters,Central,Matthieu Cornette,2602,Rio Grande,Rio Grande Ospreys,Pacific,Oleksandr Bortnyk,2600
1,5,3,0,1,Cannes,Cannes Blockbusters,Central,Fabien Libiszewski,2531,Rio Grande,Rio Grande Ospreys,Pacific,Bartlomiej Macieja,2524
1,5,3,0,2,Cannes,Cannes Blockbusters,Central,Deimante Cornette,2404,Rio Grande,Rio Grande Ospreys,Pacific,Max Cornejo,2421
1,5,3,0,3,Cannes,Cannes Blockbusters,Central,Kevin Bordi,2282,Rio Grande,Rio Grande Ospreys,Pacific,Rohun Trakru,1753
1,5,4,0,0,Chengdu,Chengdu Pandas,Pacific,Yu Yangyi,2750,Ljubljana,Ljubljana Turtles,Central,Luka Lenic,2646
1,5,4,0,1,Chengdu,Chengdu Pandas,Pacific,Li Chao,2743,Ljubljana,Ljubljana Turtles,Central,Jure Skoberne,2544
1,5,4,0,2,Chengdu,Chengdu Pandas,Pacific,Ju Wenjun,2574,Ljubljana,Ljubljana Turtles,Central,Matej Sebenik,2542
1,5,4,0,3,Chengdu,Chengdu Pandas,Pacific,Chu Ruotong,2173,Ljubljana,Ljubljana Turtles,Central,Luka Skuhala,2114
1,5,5,0,0,Buenos Aires,Buenos Aires Krakens,Atlantic,Federico Perez Ponsa,2588,Marseille,Marseille Migraines,Central,Jean-Marc Degraeve,2561
1,5,5,0,1,Buenos Aires,Buenos Aires Krakens,Atlantic,Andres Carlos Obregon,2514,Marseille,Marseille Migraines,Central,Alexandre Bacrot,2176
1,5,5,0,2,Buenos Aires,Buenos Aires Krakens,Atlantic,Maximiliano Perez,2393,Marseille,Marseille Migraines,Central,Remy Degraeve,2171
1,5,5,0,3,Buenos Aires,Buenos Aires Krakens,Atlantic,German Della Morte,2362,Marseille,Marseille Migraines,Central,Michel Bonnafous,1988
1,5,6,0,0,Montclair,Montclair Sopranos,Atlantic,Aleksandr Lenderman,2565,Mumbai,Mumbai Movers,Eastern,B. Adhiban,2643
1,5,6,0,1,Montclair,Montclair Sopranos,Atlantic,Pascal Charbonneau,2505,Mumbai,Mumbai Movers,Eastern,Swapnil Dhopade,2532
1,5,6,0,2,Montclair,Montclair Sopranos,Atlantic,Anatoly Bykhovsky,2496,Mumbai,Mumbai Movers,Eastern,Abhimanyu Puranik,2509
1,5,6,0,3,Montclair,Montclair Sopranos,Atlantic,Advait Patel,2430,Mumbai,Mumbai Movers,Eastern,Dharia Parnali,2144
1,5,7,0,0,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Awonder Liang,2545,Volga,Volga Stormbringers,Eastern,Azat Sharafiev,2433
1,5,7,0,1,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Tuan Minh Le,2485,Volga,Volga Stormbringers,Eastern,Mikhail Gorozhanin,2421
1,5,7,0,2,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Mika Brattain,2381,Volga,Volga Stormbringers,Eastern,Mikhail Kuznecov,2378
1,5,7,0,3,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Edward Song,2319,Volga,Volga Stormbringers,Eastern,Vitaly Rodchenkov,2304
2,8,0,3,0,Seattle,Seattle Sluggers,Pacific,Hikaru Nakamura,2781,Delhi,Delhi Dynamite,Eastern,Salem Saleh,2638
2,8,0,3,1,Seattle,Seattle Sluggers,Pacific,Victor Mikhalevski,2547,Delhi,Delhi Dynamite,Eastern,M R Lalith Babu,2525
2,8,0,3,2,Seattle,Seattle Sluggers,Pacific,Giorgi Margvelashvili,2530,Delhi,Delhi Dynamite,Eastern,Tania Sachdev,2391
2,8,0,3,3,Seattle,Seattle Sluggers,Pacific,Megan Lee,2179,Delhi,Delhi Dynamite,Eastern,Hemant Sharma,2342
2,8,1,3,0,St. Louis,St. Louis Arch Bishops,Atlantic,Fabiano Caruana,2799,Armenia,Armenia Eagles,Eastern,Zaven Andriasyan,2593
