Round,Round offset,Column offset,Row offset,Board offset,Team 1,Team 1 full name,Team 1 division,Player 1,Rating 1,Team 2,Team 2 full name,Team 2 division,Player 2,Rating 2
2,35,1,3,1,London Towers,London Towers,Central,Peter Roberson,2403,Estonia,Estonia Horses,Eastern,Siim Kanep,2180
2,35,1,3,2,London Towers,London Towers,Central,Thomas Rendle,2366,Estonia,Estonia Horses,Eastern,Sander Kukk,2178
2,35,1,3,3,London Towers,London Towers,Central,Blair Connell,2255,Estonia,Estonia Horses,Eastern,Nikolai Kunitsõn,2178
2,35,2,3,0,Stockholm,Stockholm Snowballs,Central,Georg Meier,2651,Norway,Norway Gnomes,Eastern,Magnus Carlsen,2827
2,35,2,3,1,Stockholm,Stockholm Snowballs,Central,Levan Pantsulaia,2593,Norway,Norway Gnomes,Eastern,Aryan Tari,2588
2,35,2,3,2,Stockholm,Stockholm Snowballs,Central,Kirill Alekseenko,2563,Norway,Norway Gnomes,Eastern,Torbjørn Ringdal Hansen,2397
2,35,2,3,3,Stockholm,Stockholm Snowballs,Central,Inna Agrest,2271,Norway,Norway Gnomes,Eastern,Elham Abdrlauf,1899
2,35,3,3,0,Amsterdam,Amsterdam Mosquitoes,Central,Wouter Spoelman,2586,Riga,Riga Magicians,Eastern,Vojtech Plat,2539
2,35,3,3,1,Amsterdam,Amsterdam Mosquitoes,Central,Suat Atalik,2537,Riga,Riga Magicians,Eastern,Vojtech Zwardon,2405
2,35,3,3,2,Amsterdam,Amsterdam Mosquitoes,Central,David Klein,2491,Riga,Riga Magicians,Eastern,Sergejs Klimakovs,2302
2,35,3,3,3,Amsterdam,Amsterdam Mosquitoes,Central,Lennart Dek,2300,Riga,Riga Magicians,Eastern,Anna Kantane,2299
2,35,4,3,0,Oslo,Oslo Trolls,Eastern,Kristian Stuvik Holm,2433,Marseille,Marseille Migraines,Central,Maxime Vachier-Lagrave,2804
2,35,4,3,1,Oslo,Oslo Trolls,Eastern,Benjamin Haldorsen,2397,Marseille,Marseille Migraines,Central,Jules Moussard,2571
2,35,4,3,2,Oslo,Oslo Trolls,Eastern,Johannes Haug,2379,Marseille,Marseille Migraines,Central,Jean-Marc Degraeve,2561
2,35,4,3,3,Oslo,Oslo Trolls,Eastern,Kjetil Stokke,2335,Marseille,Marseille Migraines,Central,Marc Andria Maurizzi,1947
2,35,5,3,0,Mumbai,Mumbai Movers,Eastern,Diptayan Ghosh,2556,Reykjavik,Reykjavik Puffins,Central,Helgi Olafsson,2512
2,35,5,3,1,Mumbai,Mumbai Movers,Eastern,Swapnil Dhopade,2532,Reykjavik,Reykjavik Puffins,Central,Hannes Stefansson,2508
2,35,5,3,2,Mumbai,Mumbai Movers,Eastern,Mohammad Nubairshah Shaikh,2410,Reykjavik,Reykjavik Puffins,Central,Jon Viktor Gunnarsson,2460
2,35,5,3,3,Mumbai,Mumbai Movers,Eastern,Raunak Sadhwani,2339,Reykjavik,Reykjavik Puffins,Central,Bjorn Thorfinnsson,2398
2,35,6,3,0,Volga,Volga Stormbringers,Eastern,Dmitry Andreikin,2708,Cannes,Cannes Blockbusters,Central,Robert Fontaine,2558
2,35,6,3,1,Volga,Volga Stormbringers,Eastern,Sergey Grigoriants,2558,Cannes,Cannes Blockbusters,Central,Barseghyan Harutyun,2474
2,35,6,3,2,Volga,Volga Stormbringers,Eastern,Azat Sharafiev,2433,Cannes,Cannes Blockbusters,Central,Pierre Villegas,2309
2,35,6,3,3,Volga,Volga Stormbringers,Eastern,Vladislav Chizhikov,2305,Cannes,Cannes Blockbusters,Central,Kevin Bordi,2282
2,35,7,3,0,Armenia,Armenia Eagles,Eastern,Hrant Melkumyan,2642,Ljubljana,Ljubljana Turtles,Central,Luka Lenic,2646
2,35,7,3,1,Armenia,Armenia Eagles,Eastern,Zaven Andriasyan,2593,Ljubljana,Ljubljana Turtles,Central,Jure Skoberne,2544
2,35,7,3,2,Armenia,Armenia Eagles,Eastern,Manuel Petrosyan,2559,Ljubljana,Ljubljana Turtles,Central,Matej Sebenik,2542
2,35,7,3,3,Armenia,Armenia Eagles,Eastern,Artak Manukyan,2196,Ljubljana,Ljubljana Turtles,Central,Luka Skuhala,2114
