Round,Round offset,Column offset,Row offset,Board offset,Team 1,Team 1 full name,Team 1 division,Player 1,Rating 1,Team 2,Team 2 full name,Team 2 division,Player 2,Rating 2
2,9,1,3,3,Dallas,Dallas Destiny,Pacific,Steven Breckenridge,2292,St. Louis,St. Louis Arch Bishops,Atlantic,Annie Wang,2090
2,9,2,3,0,Seattle,Seattle Sluggers,Pacific,Hikaru Nakamura,2781,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Awonder Liang,2545
2,9,2,3,1,Seattle,Seattle Sluggers,Pacific,Tigran Petrosian,2615,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Tuan Minh Le,2485
2,9,2,3,2,Seattle,Seattle Sluggers,Pacific,Georgi Orlov,2481,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Atulya Shetty,2403
2,9,2,3,3,Seattle,Seattle Sluggers,Pacific,Kyle Haining,2169,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Safal Bora,2363
2,9,3,3,0,San Jose,San Jose Hackers,Pacific,Shakhriyar Mamedyarov,2797,Buenos Aires,Buenos Aires Krakens,Atlantic,Alan Pichot,2565
2,9,3,3,1,San Jose,San Jose Hackers,Pacific,Rauf Mamedov,2678,Buenos Aires,Buenos Aires Krakens,Atlantic,Mario Villanueva,2445
2,9,3,3,2,San Jose,San Jose Hackers,Pacific,Zviad Izoria,2601,Buenos Aires,Buenos Aires Krakens,Atlantic,German Della Morte,2362
2,9,3,3,3,San Jose,San Jose Hackers,Pacific,Vinesh Ravuri,1918,Buenos Aires,Buenos Aires Krakens,Atlantic,Jacques Blit,2344
2,9,4,3,0,Montclair,Montclair Sopranos,Atlantic,Aleksandr Lenderman,2565,San Diego,San Diego Surfers,Pacific,Alexey Dreev,2648
2,9,4,3,1,Montclair,Montclair Sopranos,Atlantic,Anatoly Bykhovsky,2496,San Diego,San Diego Surfers,Pacific,Michael Brown,2499
2,9,4,3,2,Montclair,Montclair Sopranos,Atlantic,Mackenzie Molner,2465,San Diego,San Diego Surfers,Pacific,John Daniel Bryant,2428
2,9,4,3,3,Montclair,Montclair Sopranos,Atlantic,Nicolas Checa,2459,San Diego,San Diego Surfers,Pacific,Joshua Sheng,2373
2,9,5,3,0,Webster,Webster Windmills,Atlantic,Aleksandr Shimanov,2646,Las Vegas,Las Vegas Desert Rats,Pacific,Leinier Dominguez,2739
2,9,5,3,1,Webster,Webster Windmills,Atlantic,Denes Boros,2475,Las Vegas,Las Vegas Desert Rats,Pacific,Joshua Friedel,2547
2,9,5,3,2,Webster,Webster Windmills,Atlantic,Ashwin Jayaram,2474,Las Vegas,Las Vegas Desert Rats,Pacific,Melikset Khachiyan,2526
2,9,5,3,3,Webster,Webster Windmills,Atlantic,Aaron Grabinsky,2358,Las Vegas,Las Vegas Desert Rats,Pacific,Eugene Yanayt,2139
2,9,6,3,0,Minnesota,Minnesota Blizzard,Atlantic,Andrew Tang,2488,Rio Grande,Rio Grande Ospreys,Pacific,Hovhannes Gabuzyan,2573
